Der Techniker sagte dem Kunden, dass er mit Bargeld bezahlen könne.
Der Techniker sagte der Kundin, dass sie mit Bargeld bezahlen könne.
Der Techniker sagte dem Kunden, dass er mit Bargeld bezahlen könne.
Der Techniker hat jemandem gesagt, dass er mit Bargeld bezahlen kann.
Der Techniker hat jemandem gesagt, dass sie mit Bargeld bezahlen kann.
Der Techniker sagte jemandem, dass er mit Bargeld bezahlen könne.
Der Techniker teilt dem Kunden mit, dass er die Reparatur abgeschlossen hat.
Der Techniker teilt dem Kunden mit, dass sie die Reparatur abgeschlossen hat.
Der Techniker teilte dem Kunden mit, dass die Reparatur abgeschlossen sei.
Der Techniker teilte jemandem mit, dass er die Reparatur abgeschlossen habe.
Der Techniker teilte jemandem mit, dass sie die Reparatur abgeschlossen habe.
Der Techniker teilte jemandem mit, dass die Reparatur abgeschlossen sei.
Der Steuerzahler traf sich mit dem Steuerberater, um Hilfe bei der Steuererklärung zu bekommen.
Der Steuerzahler traf sich mit dem Buchhalter, um Hilfe bei der Steuererklärung zu bekommen.
Der Steuerzahler traf sich mit dem Buchhalter, um Hilfe bei der Einreichung seiner Steuern zu erhalten.
 Jemand hat sich mit dem Steuerberater getroffen, um Hilfe bei der Steuererklärung zu bekommen.
 Jemand traf sich mit dem Steuerberater, um Hilfe bei der Steuererklärung zu erhalten.
  Jemand traf sich mit dem Steuerberater, um Hilfe bei der Steuererklärung zu erhalten.
Der Steuerzahler traf sich mit dem Steuerberater, um herauszufinden, ob er bei der Steuererstellung helfen kann.
Der Steuerzahler traf sich mit der Buchhalterin, um herauszufinden, ob sie bei der Steuererklärung helfen kann.
Der Steuerzahler traf sich mit dem Steuerberater, um herauszufinden, ob er ihm bei der Steuererklärung helfen kann.
 Jemand traf sich mit dem Steuerberater, um herauszufinden, ob er bei der Steuererstellung helfen kann.
 Jemand traf sich mit der Steuerberaterin, um herauszufinden, ob sie bei der Steuererstellung helfen kann.
  Jemand traf sich mit dem Buchhalter, um herauszufinden, ob er bei der Steuererklärung helfen kann.
Der Vorgesetzte gab dem Mitarbeiter ein Feedback zu seiner hervorragenden Leistung.
