 Techniker Technikerin 
 Buchhalter Buchhalterin Wirtschaftsprüfer Steuerberater 
 Aufsichtsperson Betreuer Supervisor Vorgesetzter 
 Ingenieur Ingenieurin  
 Arbeiter Arbeitnehmer Mitarbeiter 
 Erzieherin Erzieher Ausbilder Erzieher Erzieherin 
 Sachbearbeiter Angestellte Schreiber Sachbearbeiterin 
 Berater Betreuer Beraterin Ratgeber 
 Inspektor Inspekteur Inspektorin Kontrolleur 
 Mechaniker mechanisch Mechanikerin Monteur 
 Manager Geschäftsführer Leiter Geschäftsführerin 
 Therapeut Therapeutin Therapeuten Therapeut  
 Verwalter Administrator Verwaltung Verwalter  
 Verkäufer Vertriebsmitarbeiter Verkaufspersonal Verkäuferin 
 Empfangsdame Rezeptionistin Rezeptionist Empfangsmitarbeiter 
 Bibliothekar Bibliothekarin Bibliothekarinnen und Bibliothekare Bibliothekare 
 Berater Ratgeber Beraterin 
 Apotheker Apothekerin Pharmazeut 
 Hausmeister Hausmeister  Hauswart 
 Psychologe Psychologin Psychologen Der Psychologe 
 Arzt Der Arzt Arzt  
 Schreiner Zimmerer Tischler Zimmermann 
 Krankenschwester Schwester Krankenpfleger Krankenschwester  
 Prüfer Ermittler Untersuchungsbeauftragter Untersuchungsbeauftragte 
 bartender bartenders 
 Spezialist Fachmann Experte Fachkraft 
 Elektriker Elektroinstallateur Elektrotechniker Elektrikerin 
 Offizier Officer Offizier  
 Pathologe Pathologen Pathologe: Pathologin 
 Lehrer Lehrerin Lehrkraft 
 Rechtsanwalt Anwalt Rechtsanwalt  
 Planer Planungsbüro Planer  Planerin 
 Praktiker Praktiker  Praktizierende Arzt 
 Klempner Spengler Klempnerei Klempner  
 Ausbilder Ausbilderin Lehrkraft Referent 
 Chirurg Chirurgin Operateur 
 Tierarzt Tierärztin Veterinärmedizin 
 Rettungssanitäter Sanitäter Rettungsassistent Rettungsassistentin 
 Prüfer Prüferin Prüfarzt Prüfer  
 Chemiker Apotheke Apotheker Apothekerin 
 Maschinist Maschinenschlosser Maschinenführer Maschinenbauer 
 Gutachter Schätzer Sachverständiger Gutachter  
 Ernährungsberater Ernährungswissenschaftler Ernährungsberaterin Ernährungswissenschaftlerin 
 Architekt Architektin Architekt  
 Friseur Friseurin Friseursalon Coiffeur 
 Bäcker Bäckerin Backer 
 Programmierer Programmiererin Programmierer  
 Rechtsanwaltsfachangestellte Rechtsanwaltsgehilfin Paralegal Anwaltsgehilfin 
 hygienist sanitizer sanitized 
 Wissenschaftlerin Wissenschaftler Forscher 
 Disponent Dispatcher Versender Disponentin 
 Kassierer Kassiererin Kassenwart Kassiererin: 
 Prüfer Wirtschaftsprüfer Rechnungsprüfer 
 Diätassistent Ernährungsberater Ernährungswissenschaftler Ernährungsberaterin 
 Maler Malerin Maler  
 Makler Broker Makler  Maklerin 
 Chefkoch Küchenchef Koch Chefkoch: 
 Doktor Arzt 
 Feuerwehrmann Feuerwehrleute Feuerwehrfrau Feuerwehrmann  
 Sekretärin Sekretär Sekretariat Sekretärin: 
